hsnr,hs,begadr,endadr,labez,labezsuf,certainty,lemma,lesart,labezorig,labezsuforig,suffix2,kontrolle,fehler,suff,vid,vl,korr,lekt,komm,anfalt,endalt,labezalt,lasufalt,base,over,comp,over1,comp1,printout,category,passage
422111,F1,20101010,20101010,a,,1,,χριστου,a,,,,,,,,,,,,,,,,,,,,,,"[20101010,20101011)"
422111,F1,20101012,20101016,a,,1,,υιου του θεου,a,,,,,,,,,,,,,,,,,,,,,,"[20101012,20101017)"
422111,F1,20102002,20102002,a,,1,,καθως,a,,,,,,,,,,,,,,,,,,,,,,"[20102002,20102003)"
422111,F1,20102008,20102014,b,,1,,ησαια τω προφητη,b,,,,,,,,,,,,,,,,,,,,,,"[20102008,20102015)"
422111,F1,20102018,20102018,a,,1,,εγω,a,,,,,,,,,,,,,,,,,,,,,,"[20102018,20102019)"
422111,F1,20102020,20102020,a,,1,,αποστελλω,a,,,,,,,,,,,,,,,,,,,,,,"[20102020,20102021)"
422111,F1,20102032,20102032,a,,1,,σου,a,,,,,,,,,,,,,,,,,,,,,,"[20102032,20102033)"
422111,F1,20102034,20102034,a,,1,,ος,a,,,,,,,,,,,,,,,,,,,,,,"[20102034,20102035)"
422111,F1,20102036,20102036,a,,1,,κατασκευασει,a,,,,,,,,,,,,,,,,,,,,,,"[20102036,20102037)"
422111,F1,20102038,20102040,a,,1,,την οδον,a,,,,,,,,,,,,,,,,,,,,,,"[20102038,20102041)"
422111,F1,20102043,20102043,b,,1,,εμπροσθεν σου,b,,,,,,,,,,,,,,,,,,,,,,"[20102043,20102044)"
422111,F1,20103002,20103029,a,,1,,φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου,a,,,,,,,,,,,,,,,,,,,,,,"[20103002,20103030)"
422111,F1,20103008,20103008,a,,1,,τη,a,,,,,,,,,,,,,,,,,,,,,,"[20103008,20103009)"
422111,F1,20103017,20103017,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20103017,20103018)"
422111,F1,20103028,20103028,a,,1,,αυτου,a,,,,,,,,,,,,,,,,,,,,,,"[20103028,20103029)"
422111,F1,20103029,20103029,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20103029,20103030)"
422111,F1,20104001,20104001,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20104001,20104002)"
422111,F1,20104003,20104003,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20104003,20104004)"
422111,F1,20104005,20104005,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20104005,20104006)"
422111,F1,20104006,20104012,a,,1,,βαπτιζων εν τη ερημω,a,,,,,,,,,,,,,,,,,,,,,,"[20104006,20104013)"
422111,F1,20104013,20104013,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20104013,20104014)"
422111,F1,20104014,20104014,a,,1,,και,a,,,,,,,,,,,,,,,,,,,,,,"[20104014,20104015)"
422111,F1,20104020,20104020,a,,1,,μετανοιας,a,,,,,,,,,,,,,,,,,,,,,,"[20104020,20104021)"
422111,F1,20104022,20104026,a,,1,,εις αφεσιν αμαρτιων,a,,,,,,,,,,,,,,,,,,,,,,"[20104022,20104027)"
422111,F1,20105004,20105004,a,,1,,εξεπορευετο,a,,,,,,,,,,,,,,,,,,,,,,"[20105004,20105005)"
422111,F1,20105012,20105014,a,,1,,η ιουδαια,a,,,,,,,,,,,,,,,,,,,,,,"[20105012,20105015)"
422111,F1,20105020,20105022,a,,1,,οι ιεροσολυμιται,a,,,,,,,,,,,,,,,,,,,,,,"[20105020,20105023)"
422111,F1,20105024,20105040,e,,1,,και εβαπτιζοντο παντες εν τω ιορδανη ποταμω υπ αυτου,e,,,,,,,,,,,,,,,,,,,,,,"[20105024,20105041)"
422111,F1,20105041,20105041,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20105041,20105042)"
422111,F1,20105048,20105048,a,,1,,αυτων,a,,,,,,,,,,,,,,,,,,,,,,"[20105048,20105049)"
422111,F1,20106002,20106008,c,,1,,ην δε ο ιωαννης,c,,,,,,,,,,,,,,,,,,,,,,"[20106002,20106009)"
422111,F1,20106010,20106010,a,,1,,ενδεδυμενος,a,,,,,,,,,,,,,,,,,,,,,,"[20106010,20106011)"
422111,F1,20106012,20106012,a,,1,,τριχας,a,,,,,,,,,,,,,,,,,,,,,,"[20106012,20106013)"
422111,F1,20106016,20106028,a,,1,,και ζωνην δερματινην περι την οσφυν αυτου,a,,,,,,,,,,,,,,,,,,,,,,"[20106016,20106029)"
422111,F1,20106018,20106020,a,,1,,ζωνην δερματινην,a,,,,,,,,,,,,,,,,,,,,,,"[20106018,20106021)"
422111,F1,20106028,20106028,a,,1,,αυτου,a,,,,,,,,,,,,,,,,,,,,,,"[20106028,20106029)"
422111,F1,20106030,20106030,a,,1,,και,a,,,,,,,,,,,,,,,,,,,,,,"[20106030,20106031)"
422111,F1,20106031,20106031,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20106031,20106032)"
422111,F1,20106032,20106040,a,,1,,εσθιων ακριδας και μελι αγριον,a,,,,,,,,,,,,,,,,,,,,,,"[20106032,20106041)"
422111,F1,20107004,20107006,a,,1,,εκηρυσσεν λεγων,a,,,,,,,,,,,,,,,,,,,,,,"[20107004,20107007)"
422111,F1,20107007,20107007,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20107007,20107008)"
422111,F1,20107008,20107008,a,,1,,ερχεται,a,,,,,,,,,,,,,,,,,,,,,,"[20107008,20107009)"
422111,F1,20107010,20107018,a,,1,,ο ισχυροτερος μου οπισω μου,a,,,,,,,,,,,,,,,,,,,,,,"[20107010,20107019)"
422111,F1,20107010,20107012,a,,1,,ο ισχυροτερος,a,,,,,,,,,,,,,,,,,,,,,,"[20107010,20107013)"
422111,F1,20107014,20107018,a,,1,,μου οπισω μου,a,,,,,,,,,,,,,,,,,,,,,,"[20107014,20107019)"
422111,F1,20107026,20107026,a,,1,,ικανος,a,,,,,,,,,,,,,,,,,,,,,,"[20107026,20107027)"
422111,F1,20107028,20107028,a,,1,,κυψας,a,,,,,,,,,,,,,,,,,,,,,,"[20107028,20107029)"
422111,F1,20107036,20107038,a,,1,,των υποδηματων,a,,,,,,,,,,,,,,,,,,,,,,"[20107036,20107039)"
422111,F1,20108002,20108009,a,,1,,εγω εβαπτισα υμας υδατι,a,,,,,,,,,,,,,,,,,,,,,,"[20108002,20108010)"
422111,F1,20108002,20108002,a,,1,,εγω,a,,,,,,,,,,,,,,,,,,,,,,"[20108002,20108003)"
422111,F1,20108003,20108003,b,,1,,μεν,b,,,,,,,,,,,,,,,,,,,,,,"[20108003,20108004)"
422111,F1,20108004,20108006,a,,1,,εβαπτισα υμας,a,,,,,,,,,,,,,,,,,,,,,,"[20108004,20108007)"
422111,F1,20108007,20108007,b,,1,,εν,b,,,,,,,,,,,,,,,,,,,,,,"[20108007,20108008)"
422111,F1,20108009,20108009,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20108009,20108010)"
422111,F1,20108010,20108012,a,,1,,αυτος δε,a,,,,,,,,,,,,,,,,,,,,,,"[20108010,20108013)"
422111,F1,20108014,20108016,a,,1,,βαπτισει υμας,a,,,,,,,,,,,,,,,,,,,,,,"[20108014,20108017)"
422111,F1,20108018,20108018,a,,1,,εν,a,,,,,,,,,,,,,,,,,,,,,,"[20108018,20108019)"
422111,F1,20108023,20108023,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20108023,20108024)"
422111,F1,20109002,20109004,a,,1,,και εγενετο,a,,,,,,,,,,,,,,,,,,,,,,"[20109002,20109005)"
422111,F1,20109006,20109012,a,,1,,εν εκειναις ταις ημεραις,a,,,,,,,,,,,,,,,,,,,,,,"[20109006,20109013)"
422111,F1,20109013,20109013,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20109013,20109014)"
422111,F1,20109014,20109016,a,,1,,ηλθεν ιησους,a,,,,,,,,,,,,,,,,,,,,,,"[20109014,20109017)"
422111,F1,20109017,20109017,a,,1,,,a,,,,,,,,,,,,,,,,,,,,,,"[20109017,20109018)"
422111,F1,20109022,20109024,a,,1,,της γαλιλαιας,a,,,,,,,,,,,,,,,,,,,,,,"[20109022,20109025)"
422111,F1,20109030,20109038,a,,1,,εις τον ιορδανην υπο ιωαννου,a,,,,,,,,,,,,,,,,,,,,,,"[20109030,20109039)"
